pitcher_id,pitcher_avg_exit_velocity_allowed,pitcher_max_exit_velocity_allowed,pitcher_batted_balls_allowed,pitcher_name
676477,76.97777777777777,103.5,36,garrett whitlock
676596,81.48571428571428,96.6,7,josh fleming
676664,84.45116279069768,111.0,43,jp sears
676680,77.92,96.4,15,tom cosgrove
676684,81.0,103.7,10,will vest
676702,82.23571428571428,102.2,14,hunter stratton
676710,77.26060606060605,105.1,33,kutter crawford
676775,83.85862068965517,108.8,58,keaton winn
676962,90.46666666666667,111.7,15,ben brown
676974,86.07333333333334,106.9,45,max meyer
676979,82.54489795918367,107.0,49,garrett crochet
677053,81.72380952380952,108.8,21,andrew nardi
677960,84.07368421052632,107.2,19,ryan weathers
678394,83.8625,108.0,24,brayan bello
679525,80.77460317460317,112.6,63,alec marsh
680570,81.89411764705882,104.9,34,grayson rodriguez
680686,80.48055555555555,104.9,36,josiah gray
680704,77.85000000000001,96.5,12,nick sandlin
680767,82.2125,106.9,16,victor vodnik
681217,80.90714285714286,110.6,42,chase silseth
681402,88.71428571428571,103.6,7,gus varland
681432,86.10000000000001,108.0,11,luke little
681676,85.51578947368421,109.9,19,ryan fernandez
681857,82.37407407407407,110.9,27,reese olson
681892,79.57777777777778,102.4,9,kody funderburk
681911,80.80000000000001,99.9,9,alex vesia
682120,81.58333333333333,110.9,12,tim herrin
682243,87.60909090909091,108.4,22,bryce miller
682842,82.32222222222222,107.9,9,abner uribe
682847,84.42666666666668,108.0,15,luis ortiz
683003,81.02857142857142,107.6,35,jared jones
683232,83.49375,105.5,16,nick mears
683627,89.58500000000001,108.3,20,anthony molina
683769,80.89090909090909,110.5,11,hunter gaddis
684007,84.83061224489795,103.4,49,shota imanaga
686580,74.0625,100.5,8,justin slaten
686613,87.796,108.3,25,hunter brown
686752,82.63921568627451,109.8,51,ryan pepiot
686826,83.9,103.8,16,bryce jarvis
686973,81.2074074074074,107.5,27,louis varland
687014,84.30416666666666,105.3,24,nick avila
687765,80.3,89.7,4,mitch spence
690986,82.16000000000001,106.2,30,kyle harrison
694037,85.32,106.8,15,daniel palencia
694297,86.66296296296296,114.4,27,brandon pfaadt
694738,76.01428571428572,106.0,14,landen roupp
694813,81.88636363636364,108.3,22,gavin stone
695243,83.96363636363637,99.5,11,mason miller
696136,82.21666666666667,108.5,36,jordan wicks
808967,85.20434782608696,107.3,23,yoshinobu yamamoto
