pitcher,avg_exit_velocity_allowed,max_exit_velocity_allowed,avg_launch_angle_allowed,batted_balls_allowed
663432,79.8,105.2,23.227272727272727,22
640462,79.78275862068965,104.3,16.482758620689655,29
471911,79.7764705882353,106.1,7.588235294117647,17
458681,79.721875,108.4,12.75,32
664076,79.71052631578948,103.8,16.105263157894736,19
656412,79.69473684210527,105.8,3.526315789473684,19
664747,79.67368421052632,99.0,21.789473684210527,19
620982,79.62222222222223,106.2,-2.7777777777777777,27
657585,79.62,102.1,16.3,10
681892,79.57777777777778,102.4,14.777777777777779,9
523260,79.52666666666667,110.4,20.666666666666668,15
669854,79.4857142857143,103.3,22.11111111111111,63
657376,79.18,106.8,17.266666666666666,30
623465,79.17692307692307,101.9,23.23076923076923,13
628452,79.15454545454546,104.3,13.090909090909092,11
622491,79.13953488372093,105.9,22.953488372093023,43
669461,79.1125,106.7,0.1875,16
641302,79.10270270270271,107.4,22.10810810810811,37
571760,79.09375,103.9,29.0,32
666142,79.09166666666667,112.2,-8.333333333333334,24
661563,79.06326530612245,111.7,22.510204081632654,49
643377,79.04285714285713,99.9,18.0,7
621112,79.03125,105.8,6.71875,32
669276,78.93448275862069,107.9,24.551724137931036,29
547184,78.9235294117647,108.7,-0.17647058823529413,17
592094,78.83636363636364,102.5,16.454545454545453,11
663568,78.81666666666666,102.9,17.75,12
656924,78.53999999999999,100.8,19.15,20
571945,78.47714285714285,104.7,23.65714285714286,35
606965,78.45,110.1,26.73076923076923,26
663362,78.41896551724139,110.8,18.396551724137932,58
671096,78.40746268656717,106.8,26.37313432835821,67
573124,78.4,105.6,23.3,10
669211,78.25833333333334,105.6,31.5,12
445926,78.17777777777778,99.6,10.444444444444445,9
656464,78.04666666666667,105.2,14.466666666666667,15
669467,78.025,105.2,-7.5,8
663158,77.99411764705883,102.4,22.41176470588235,17
624133,77.96129032258065,108.3,6.32258064516129,31
676680,77.92,96.4,14.6,15
489446,77.86666666666666,79.5,3.3333333333333335,3
